2020-03-02 11:53:28 - google_map - Either the url is invalid or curl / fopen is not enabled
2020-03-03 15:21:13 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 15:21:23 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\xampp\htdocs\boilerplate2302_v2\system\library\mail.php on line 176
2020-03-03 15:21:25 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\xampp\htdocs\boilerplate2302_v2\system\library\mail.php on line 176
2020-03-03 15:23:02 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 15:23:02 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 15:23:02 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 15:23:02 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 15:23:12 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\xampp\htdocs\boilerplate2302_v2\system\library\mail.php on line 176
2020-03-03 15:23:14 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in D:\xampp\htdocs\boilerplate2302_v2\system\library\mail.php on line 176
2020-03-03 15:24:42 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 15:24:42 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 15:24:42 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
